Make,convertible,hardtop,hatchback,sedan,wagon,total
alfa-romero,14997.5,,16500,,,31497.5
audi,,,0,17647,18920,36567
bmw,,,,26118.75,,26118.75
chevrolet,,,5723,6575,,12298
dodge,,,7819.8,7619.666667,8921,24360.46667
honda,,,7054.428571,9945,7295,24294.42857
isuzu,,,11048,6785,,17833
jaguar,,,,34600,,34600
,,,,,,0
mazda,,,10085,11464.14286,,21549.14286
mercedes-benz,35056,36788,,33074,28248,133166
mercury,,,16503,,,16503
mitsubishi,,,9597.888889,8434,,18031.88889
nissan,,8249,14409,8604.555556,9915.666667,41178.22222
peugot,,,,15758.57143,15017.5,30776.07143
plymouth,,,8130.5,7150.5,8921,24202
porsche,37028,33278,22018,,,92324
renault,,,9895,,9295,19190
saab,,,15013.33333,15433.33333,,30446.66667
subaru,,,6591.333333,9070.6,9342,25003.93333
toyota,17669,9762.333333,9616,9542.2,9836,56425.53333
volkswagen,11595,,9980,9673.888889,12290,43538.88889
volvo,,,,18726.875,16293.33333,35020.20833
