country,market_share
China,11.16
India,3.04
Indonesia,2.36
Japan,3.34
Malaysia,6.42
SouthKorea,2.98
Taiwan,3.48
Thailand,3.51
Vietnam,7.10
Australia,3.23
CzechRepublic,2.66
Hungary,2.54
Poland,3.95
Romania,5.03
Russia,3.78
Ukraine,2.77
Argentina,2.86
Brazil,3.97
Chile,2.52
Colombia,1.78
Mexico,5.08
Venezuela,12.56
Egypt,9.11
Israel,-0.90
Morocco,3.10
SaudiArabia,5.78
SouthAfrica,3.56
UnitedArabEmirates,1.02
Canada,2.94
USA,1.79
Austria,2.38
Denmark,1.71
France,2.96
Germany,2.57
Greece,2.49
Italy,2.57
Netherlands,3.48
Norway,4.83
Portugal,13.40
Spain,2.86
Sweden,1.25
Turkey,3.44
UnitedKingdom,2.78
