id,Region,Country,Category,Subcategory,Global_Brand_Owner,pct_2015,pct_2016,pct_2017,Unit2015,Unit2016,Unit2017,Growth_pct_2015_2016,Growth_pct_2016_2017
329D5FF6,AP,China,Apparel,Childrenswear,adidas Group,0.8,0.9,1.1,176.9,211.4,289.4,27.5,39.1
734C1B4D,AP,China,Apparel,Childrenswear,Anta (China) Co Ltd,0.5,0.5,0.5,111.5,122.9,130.5,17.6,7.8
ABB7D30A,AP,China,Apparel,Childrenswear,Nike Inc,0.5,0.5,0.5,102.2,115.7,127.1,20.8,11.6
4415DE2C,AP,China,Apparel,Childrenswear,H&M Hennes & Mauritz AB,0.4,0.4,0.4,98.5,101.9,114.5,10.3,14.2
D09F6231,AP,China,Apparel,Childrenswear,"Gap Inc, The",0.4,0.4,0.3,90,93.4,82.7,10.7,-10.1
AF73E2C1,AP,China,Apparel,Childrenswear,"Inditex, Industria de Diseño Textil SA",0.2,0.2,0.2,38.6,46,56.1,27.2,23.7
CD68BF0B,AP,China,Apparel,Childrenswear,Li Ning Co Ltd,0.2,0.2,0.2,40.8,42.4,44.6,10.7,7
99968497,AP,China,Apparel,Menswear,adidas Group,1.4,1.5,1.9,"1,078.50","1,167.20","1,510.60",15.5,31.4
25CC3F02,AP,China,Apparel,Menswear,Nike Inc,1.5,1.6,1.6,"1,162.40","1,239.10","1,293.20",13.7,6
0D874A98,AP,China,Apparel,Menswear,"Inditex, Industria de Diseño Textil SA",0.7,0.8,0.9,520.4,608.6,727.1,24.8,21.3
97312E60,AP,China,Apparel,Menswear,Anta (China) Co Ltd,0.7,0.8,0.8,527.7,578.3,657.3,16.9,15.4
3461A273,AP,China,Apparel,Menswear,Li Ning Co Ltd,0.5,0.6,0.6,407.2,429.9,461.1,12.6,8.9
F35093F2,AP,China,Apparel,Menswear,H&M Hennes & Mauritz AB,0.4,0.4,0.5,338.9,345.7,375.5,8.8,10.3
56CCA546,AP,China,Apparel,Menswear,Fila Holding SpA,0.2,0.3,0.3,159.6,197.4,255,31.9,31.2
44549A5A,AP,China,Apparel,Menswear,Columbia Sportswear Co,0.2,0.2,0.2,185.1,179.7,186.5,3.6,5.4
BB7410FC,AP,China,Apparel,Menswear,New Balance Athletic Shoe Inc,0.1,0.1,0.1,94.6,110.4,103.4,24.5,-4.9
85B950D6,AP,China,Apparel,Menswear,"Gap Inc, The",0.1,0.1,0.1,80.7,81,70.3,7.1,-11.9
CE368BAE,AP,China,Apparel,Womenswear,"Inditex, Industria de Diseño Textil SA",0.8,0.9,1.1,"1,062.00","1,237.00","1,478.90",24.3,21.4
BC64F463,AP,China,Apparel,Womenswear,adidas Group,0.6,0.7,0.9,816.7,892.9,"1,184.10",16.7,34.7
B88C83A0,AP,China,Apparel,Womenswear,H&M Hennes & Mauritz AB,0.6,0.6,0.6,769.8,788.4,871,9.3,12.2
AD1D3BD1,AP,China,Apparel,Womenswear,Nike Inc,0.3,0.4,0.4,432,460.5,486.7,13.7,7.3
480C4193,AP,China,Apparel,Womenswear,Anta (China) Co Ltd,0.3,0.3,0.3,361,405.5,472.1,19.8,18.2
38E25485,AP,China,Apparel,Womenswear,Li Ning Co Ltd,0.2,0.2,0.2,264.3,269.4,277.8,8.7,4.7
1124FEFC,AP,China,Apparel,Womenswear,Fila Holding SpA,0.1,0.1,0.1,97.1,121.6,159,33.6,32.8
8A0F8886,AP,China,Footwear,Children's Footwear,Nike Inc,3.1,3.7,3.8,219.1,266.1,296.7,29.6,13.2
A374159E,AP,China,Footwear,Children's Footwear,adidas Group,1.6,2,2.9,113.6,144.5,231.6,35.7,62.8
F6ACBD74,AP,China,Footwear,Children's Footwear,Anta (China) Co Ltd,0.7,0.7,0.8,46.4,52.9,62.7,21.8,20.4
2FB49E03,AP,China,Footwear,Children's Footwear,New Balance Athletic Shoe Inc,0.8,0.8,0.7,55.7,61.3,56.9,17.5,-5.7
7B5B44C5,AP,China,Footwear,Children's Footwear,Li Ning Co Ltd,0.6,0.6,0.6,42,44,46.5,11.7,7.2
8E7B0E34,AP,China,Footwear,Children's Footwear,Fila Holding SpA,0.1,0.1,0.1,5.4,7.3,10.2,45.4,41.4
59FBAE7C,AP,China,Footwear,Children's Footwear,Deckers Outdoor Corp,0.1,0.1,0.1,8.1,8.8,9.6,15.2,11.4
5FF3AB4E,AP,China,Footwear,Children's Footwear,Skechers USA Inc,0,0,0,0,0,0,0,0
0ED1927D,AP,China,Footwear,Men's Footwear,Nike Inc,9.3,11.3,12.1,"1,958.10","2,316.10","2,587.10",26.2,13.4
48F3E96D,AP,China,Footwear,Men's Footwear,adidas Group,6.7,8.1,10.7,"1,409.20","1,663.70","2,276.40",26,39
01C58602,AP,China,Footwear,Men's Footwear,Anta (China) Co Ltd,2.6,2.8,2.9,537.3,566.9,625.1,12.6,12
BE1C03E5,AP,China,Footwear,Men's Footwear,Li Ning Co Ltd,1.8,2.1,2.3,387.9,427.1,490.2,17.5,16.5
16B4B138,AP,China,Footwear,Men's Footwear,New Balance Athletic Shoe Inc,2.1,2.4,2.1,438.3,484.4,458,17.9,-4
8BC76A56,AP,China,Footwear,Men's Footwear,Fila Holding SpA,0.7,0.8,1,137.5,165.2,205.9,28.3,26.5
3AC0B465,AP,China,Footwear,Men's Footwear,Asics Corp,0.2,0.2,0.3,31.9,40.6,54.3,35.7,35.9
5E5FD0B1,AP,China,Footwear,Men's Footwear,Columbia Sportswear Co,0.2,0.2,0.2,43.8,45.1,50,10,12.4
EC89D9F7,AP,China,Footwear,Men's Footwear,"Inditex, Industria de Diseño Textil SA",0.2,0.2,0.2,36.2,41.4,48.7,22.2,19.5
138FF8ED,AP,China,Footwear,Men's Footwear,Deckers Outdoor Corp,0.1,0.1,0.1,21.2,22.9,24.9,15,10.4
5D68BDFB,AP,China,Footwear,Men's Footwear,H&M Hennes & Mauritz AB,0.1,0.1,0.1,20.2,21.5,24.1,13.4,13.9
FF108B73,AP,China,Footwear,Men's Footwear,Skechers USA Inc,0,0,0,0,0,0,0,0
795BE95A,AP,China,Footwear,Men's Footwear,Lacoste SA,0,0,0,0,0,0,0,0
8E9A8EE6,AP,China,Footwear,Women's Footwear,Nike Inc,4.3,5.6,6.1,"1,239.00","1,491.80","1,677.70",28.5,14.2
E5B10DFB,AP,China,Footwear,Women's Footwear,adidas Group,1.7,2.1,2.7,501.3,561.1,746.6,19.4,35.1
AD30561E,AP,China,Footwear,Women's Footwear,Anta (China) Co Ltd,1.4,1.6,1.8,416.1,436.9,479.3,12,11.4
D2B8D9FB,AP,China,Footwear,Women's Footwear,New Balance Athletic Shoe Inc,1.4,1.6,1.4,390.6,421,388.4,15,-6.3
D7A6F7BF,AP,China,Footwear,Women's Footwear,Li Ning Co Ltd,1,1.1,1.1,289.7,292.6,310.3,7.8,7.7
7E4F9873,AP,China,Footwear,Women's Footwear,Deckers Outdoor Corp,0.7,0.7,0.7,203.2,190.4,189.7,0,1.1
4067A0D6,AP,China,Footwear,Women's Footwear,Fila Holding SpA,0.4,0.5,0.5,101.1,120,147.7,26.7,24.9
1AF40E63,AP,China,Footwear,Women's Footwear,"Inditex, Industria de Diseño Textil SA",0.2,0.3,0.3,64.7,74.4,87.6,22.6,19.6
78015DAE,AP,China,Footwear,Women's Footwear,H&M Hennes & Mauritz AB,0.1,0.1,0.1,32.1,34.7,39.6,15.5,15.8
CCC94DA5,AP,China,Footwear,Women's Footwear,Columbia Sportswear Co,0.1,0.1,0.1,28.4,28.8,31.1,8,9.9
789920DF,AP,China,Footwear,Women's Footwear,Skechers USA Inc,0,0,0,0,0,0,0,0
DA776C9A,AP,China,Sportswear,Sportswear,Nike Inc,19.3,21,20.8,"5,178.30","5,952.50","6,532.00",22.6,11.4
64CF2A14,AP,China,Sportswear,Sportswear,adidas Group,15.5,16.5,20.1,"4,150.60","4,695.70","6,309.10",20.7,36.4
